id,brand,car_model,type,desc,problem,datetime,status
487960,奔驰（进口）,奔驰R级,2017款 R 320 4MATIC 商务型臻藏版,进口奔驰R级发动机故障灯亮电路板烧毁,"A34,H109,H110,L314,",2020-06-24,信息审核
487958,众泰汽车,众泰SR7,2016款 1.5T 手动 魔方之路版 国IV,众泰SR7减震器漏油严重厂家无配件提供,"G25,N318,",2020-06-24,信息审核
487957,东风雪铁龙,雪铁龙C4L,2014款 1.8L 自动 智驱版 劲智型,东风雪铁龙C4L方向盘上下左右松动,"D337,",2020-06-24,信息审核
487955,广汽本田,雅阁,2018款 230TURBO 舒适版 国V,广汽本田雅阁高速行驶中踩油门没有反应,"A255,",2020-06-24,信息审核
487954,北汽新能源,北汽新能源EC,2017款 EC200 灵动版,北汽新能源EC全车断电 售后无配件维修,"A346,N318,",2020-06-24,信息审核
487952,广汽乘用车,传祺GS5,2019款 270T 自动 豪华版,广汽传祺GS5发动机无法启动要求解决,"A44,",2020-06-24,信息审核
487951,上汽集团,荣威RX5 MAX,2019款 400TGI 自动 智能座舱豪华版,上汽荣威RX5 MAX经销商出售库存车,"L313,M283,",2020-06-24,信息审核
487945,江淮汽车,瑞风S3,2015款 1.5L 手动 豪华智能尊享版,江淮瑞风S3维修人员喷漆后车漆脱落,"J303,",2020-06-24,信息审核
487944,广汽丰田,汉兰达,2015款 2.0T 四驱 豪华版 7座,广汽丰田汉兰达高压喷油嘴漏油热车启动困难,"A12,A44,",2020-06-24,处理反馈
487943,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越变速箱挡位灯与厂家宣传不符,"M279,",2020-06-24,信息审核
487941,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408更换正时皮带后发动机损坏,"J300,",2020-06-24,信息审核
487938,吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,吉利帝豪GL离合器分泵漏油存在质量问题,"C207,",2020-06-24,信息审核
487935,上汽大众,途观L,2017款 380TSI 四驱 旗舰版,上汽大众途观L变速箱异响严重希望处理,"B33,",2020-06-24,信息审核
487933,奇瑞捷豹路虎,发现运动版,2020款 249PS R-Dynamic SE 性能科技版 7座,奇瑞捷豹路虎发现运动版发动机无法启动,"A44,D57,",2020-06-24,处理反馈
487932,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700离合器打滑 发动机报警 换挡顿挫,"A34,B19,C16,",2020-06-24,信息审核
